id,content_type,title_ru,title_original,status,reaction,year,creators,participants,genres,duration_minutes,external_rating,external_rating_source,external_id,source,url,location,metadata_json,notes,added_at,consumed_at
movie-058,movie,Дети небес,Children of Heaven,backlog,,1997,,,,,,,,lib_list_2.md,,,"{""migrated_from"":""lib_list_2.md""}",,2026-08-16,
movie-059,movie,Лабиринт Фавна,Pan's Labyrinth,backlog,,2006,,,,,,,,lib_list_2.md,,,"{""migrated_from"":""lib_list_2.md""}",,2026-08-16,
movie-060,movie,Подкидыш,The Foundling,backlog,,1939,,,,,,,,lib_list_2.md,,,"{""migrated_from"":""lib_list_2.md""}",Soviet film,2026-08-16,
movie-061,movie,Умереть во имя,To Die For,backlog,,1995,,,,,,,,lib_list_2.md,,,"{""migrated_from"":""lib_list_2.md""}",Gus Van Sant,2026-08-16,
music-001,music,Величайшая любовь,The Greatest Love,dismissed,,,,,,,,,,checker.ipynb,,,"{""migrated_from"":""checker.ipynb""}",Excluded in the legacy Spotify draft; no like/dislike was inferred,2026-08-16,
music-002,music,Из пустоты,From Zero,dismissed,,,,,,,,,,checker.ipynb,,,"{""migrated_from"":""checker.ipynb""}",Excluded in the legacy Spotify draft; no like/dislike was inferred,2026-08-16,
music-003,music,Одно убийство без Бога — Глава 1,One Assassination Under God - Chapter 1,dismissed,,,,,,,,,,checker.ipynb,,,"{""migrated_from"":""checker.ipynb""}",Excluded in the legacy Spotify draft; no like/dislike was inferred,2026-08-16,
music-004,music,Что случилось с сердцем?,What Happened To The Heart?,dismissed,,,,,,,,,,checker.ipynb,,,"{""migrated_from"":""checker.ipynb""}",Excluded in the legacy Spotify draft; no like/dislike was inferred,2026-08-16,
music-005,music,Из пустоты: акапеллы,From Zero: A Cappellas,dismissed,,,,,,,,,,checker.ipynb,,,"{""migrated_from"":""checker.ipynb""}",Excluded in the legacy Spotify draft; no like/dislike was inferred,2026-08-16,
music-006,music,Паперкаты: инструменталы,Papercuts: Instrumentals,dismissed,,,,,,,,,,checker.ipynb,,,"{""migrated_from"":""checker.ipynb""}",Excluded in the legacy Spotify draft; no like/dislike was inferred,2026-08-16,
music-007,music,Призрачная пятёрка,The Phantom Five,dismissed,,,,,,,,,,checker.ipynb,,,"{""migrated_from"":""checker.ipynb""}",Excluded in the legacy Spotify draft; no like/dislike was inferred,2026-08-16,
music-008,music,1200 ударов в минуту,1200 Beats Per Minute,dismissed,,,,,,,,,,checker.ipynb,,,"{""migrated_from"":""checker.ipynb""}",Excluded in the legacy Spotify draft; no like/dislike was inferred,2026-08-16,
restaurant-001,restaurant,IDOL bar,IDOL Bar,consumed,like,,,,,,,,,belgrade_restaurants.md,https://g.co/kgs/38pXFM4,"Belgrade, Serbia","{""migrated_from"":""belgrade_restaurants.md""}","бар / ресторан, понравился",2026-08-16,2026-08-16
restaurant-002,restaurant,June,June,consumed,like,,,,,,,,,belgrade_restaurants.md,https://g.co/kgs/sHUCDhG,"Belgrade, Serbia","{""migrated_from"":""belgrade_restaurants.md""}",современная кухня,2026-08-16,2026-08-16
restaurant-003,restaurant,Iva Balkan Cuisine,Iva Balkan Cuisine,consumed,like,,,,,,,,,belgrade_restaurants.md,https://g.co/kgs/HQcCxBt,"Belgrade, Serbia","{""migrated_from"":""belgrade_restaurants.md""}",балканская кухня,2026-08-16,2026-08-16
restaurant-004,restaurant,New Reset,New Reset,consumed,like,,,,,,,,,belgrade_restaurants.md,https://g.co/kgs/DwYb8ZS,"Belgrade, Serbia","{""migrated_from"":""belgrade_restaurants.md""}",современный формат,2026-08-16,2026-08-16
restaurant-005,restaurant,Good Dumplings,Good Dumplings,consumed,like,,,,,,,,,belgrade_restaurants.md,https://g.co/kgs/YxwUmjV,"Belgrade, Serbia","{""migrated_from"":""belgrade_restaurants.md""}",дамплинги,2026-08-16,2026-08-16
restaurant-006,restaurant,Šaran,Šaran,consumed,like,,,,,,,,,belgrade_restaurants.md,https://maps.app.goo.gl/7XhU8EZedk9npvnFA,"Belgrade, Serbia","{""migrated_from"":""belgrade_restaurants.md""}",рыбный ресторан,2026-08-16,2026-08-16
restaurant-007,restaurant,Istok,Istok Vietnamese Restaurant,consumed,like,,,,,,,,,belgrade_restaurants.md,https://maps.app.goo.gl/b37TSpVXfF6EGLb3A,"Belgrade, Serbia","{""migrated_from"":""belgrade_restaurants.md""}",вьетнамская кухня,2026-08-16,2026-08-16
restaurant-008,restaurant,Kunst Wine Bar,Kunst Wine Bar,consumed,like,,,,,,,,,belgrade_restaurants.md,https://maps.app.goo.gl/hggsA4NZo6dwUE8N7,"Belgrade, Serbia","{""migrated_from"":""belgrade_restaurants.md""}",винный бар,2026-08-16,2026-08-16
restaurant-009,restaurant,Suvobor,Suvobor,consumed,like,,,,,,,,,belgrade_restaurants.md,https://maps.app.goo.gl/BdhqhVmEyRuSeNYx5,"Belgrade, Serbia","{""migrated_from"":""belgrade_restaurants.md""}",сербская кухня,2026-08-16,2026-08-16
restaurant-010,restaurant,Карусель,Karusel,consumed,like,,,,,,,,,belgrade_restaurants.md,https://maps.app.goo.gl/myVeT9yw7nh4Dbrt7,"Belgrade, Serbia","{""migrated_from"":""belgrade_restaurants.md""}",ресторан,2026-08-16,2026-08-16
restaurant-011,restaurant,Process,Process Wine Bar,consumed,like,,,,,,,,,belgrade_restaurants.md,https://maps.app.goo.gl/U8cVKzVx3tY5yBFA6,"Belgrade, Serbia","{""migrated_from"":""belgrade_restaurants.md""}",винный бар,2026-08-16,2026-08-16
restaurant-012,restaurant,Axiom Bar,Axiom Bar,consumed,like,,,,,,,,,belgrade_restaurants.md,https://maps.app.goo.gl/RdT9rFYa6m8pnT7v6,"Belgrade, Serbia","{""migrated_from"":""belgrade_restaurants.md""}",бар,2026-08-16,2026-08-16
restaurant-013,restaurant,Кафана Корчагин,Kafana Pavle Korčagin,consumed,like,,,,,,,,,belgrade_restaurants.md,https://maps.app.goo.gl/qp8PtLMzfqWMUxAT7,"Belgrade, Serbia","{""migrated_from"":""belgrade_restaurants.md""}",кафана,2026-08-16,2026-08-16
restaurant-014,restaurant,Pietra,Pietra Pizza,consumed,like,,,,,,,,,belgrade_restaurants.md,https://maps.app.goo.gl/mxJptVEG9Zo8XQiX9,"Belgrade, Serbia","{""migrated_from"":""belgrade_restaurants.md""}",пицца,2026-08-16,2026-08-16
restaurant-015,restaurant,Little Bay,Little Bay,consumed,like,,,,,,,,,belgrade_restaurants.md,https://maps.app.goo.gl/drWuDznoT69VFVM28,"Belgrade, Serbia","{""migrated_from"":""belgrade_restaurants.md""}",интерьер + европейская кухня,2026-08-16,2026-08-16
restaurant-016,restaurant,Thyme,Thyme Street Food,consumed,like,,,,,,,,,belgrade_restaurants.md,https://maps.app.goo.gl/HBiPEMs5WWDXBX8K7,"Belgrade, Serbia","{""migrated_from"":""belgrade_restaurants.md""}",стритфуд,2026-08-16,2026-08-16
restaurant-017,restaurant,SMASH BURGERS,SMASH BURGERS,consumed,like,,,,,,,,,belgrade_restaurants.md,https://maps.app.goo.gl/oxpgAN6D6spYUHmb9,"Belgrade, Serbia","{""migrated_from"":""belgrade_restaurants.md""}",,2026-08-16,2026-08-16
restaurant-018,restaurant,Riddle Bar Skadarlija,Riddle Bar Skadarlija,backlog,,,,,Средний сегмент,,,,,belgrade_restaurants.md,https://maps.app.goo.gl/JUbEkKnRbZrqj5m28,"Belgrade, Serbia","{""migrated_from"":""belgrade_restaurants.md""}",коктейльный бар,2026-08-16,
restaurant-019,restaurant,Fomin Bar,Fomin Bar,backlog,,,,,Средний сегмент,,,,,belgrade_restaurants.md,https://maps.app.goo.gl/RTWk2Cmkhj3DBHap6,"Belgrade, Serbia","{""migrated_from"":""belgrade_restaurants.md""}",бар,2026-08-16,
restaurant-020,restaurant,Lebanese Pekara,Lebanese Bakery,backlog,,,,,Средний сегмент,,,,,belgrade_restaurants.md,https://maps.app.goo.gl/y4nw7hAciQeNvMHL6,"Belgrade, Serbia","{""migrated_from"":""belgrade_restaurants.md""}",ливанская выпечка,2026-08-16,
restaurant-021,restaurant,Thai Restaurant,Thai Restaurant,backlog,,,,,Средний сегмент,,,,,belgrade_restaurants.md,https://maps.app.goo.gl/Gz2yyWKcahKVz2QV8,"Belgrade, Serbia","{""migrated_from"":""belgrade_restaurants.md""}",тайская кухня,2026-08-16,
restaurant-022,restaurant,Royal India,Royal India,backlog,,,,,Средний сегмент,,,,,belgrade_restaurants.md,https://maps.app.goo.gl/4EkQq5F3GgwgH5YBA,"Belgrade, Serbia","{""migrated_from"":""belgrade_restaurants.md""}",индийская кухня,2026-08-16,
restaurant-023,restaurant,Mezestoran Dvorište,Mezestoran Dvorište,backlog,,,,,Средний сегмент,,,,,belgrade_restaurants.md,https://maps.app.goo.gl/ME9YK4FmpMKPRHdg9,"Belgrade, Serbia","{""migrated_from"":""belgrade_restaurants.md""}","Michelin Recommended, средиземноморская / сербская",2026-08-16,
restaurant-024,restaurant,Gastro Šor,Gastro Šor,backlog,,,,,Средний сегмент,,,,,belgrade_restaurants.md,https://maps.app.goo.gl/VkPWH9WzDB6E1eGM6,"Belgrade, Serbia","{""migrated_from"":""belgrade_restaurants.md""}",гастробистро,2026-08-16,
restaurant-025,restaurant,Boem Bar,Boem Bar,backlog,,,,,Средний сегмент,,,,,belgrade_restaurants.md,https://maps.app.goo.gl/Bp5jH69SiP6gaLw38,"Belgrade, Serbia","{""migrated_from"":""belgrade_restaurants.md""}",бар,2026-08-16,
restaurant-026,restaurant,View Rooftop,View Rooftop,backlog,,,,,Средний сегмент,,,,,belgrade_restaurants.md,https://maps.app.goo.gl/FiEHyVzotjPnQDZt5,"Belgrade, Serbia","{""migrated_from"":""belgrade_restaurants.md""}",вид на Саву,2026-08-16,
restaurant-027,restaurant,La Rumba,La Rumba,backlog,,,,,Средний сегмент,,,,,belgrade_restaurants.md,https://maps.app.goo.gl/17WhUEcRV8ArjoK37,"Belgrade, Serbia","{""migrated_from"":""belgrade_restaurants.md""}",кубинская кухня,2026-08-16,
restaurant-028,restaurant,Bosiljak Pizza Napoletana,Bosiljak Pizza Napoletana,backlog,,,,,Средний сегмент,,,,,belgrade_restaurants.md,https://maps.app.goo.gl/4L41WhStnHTqBvEE9,"Belgrade, Serbia","{""migrated_from"":""belgrade_restaurants.md""}",,2026-08-16,
restaurant-029,restaurant,IbericoWine&food,IbericoWine&food,backlog,,,,,Средний сегмент,,,,,belgrade_restaurants.md,https://maps.app.goo.gl/ZwrGLjZ1i3zWu541A,"Belgrade, Serbia","{""migrated_from"":""belgrade_restaurants.md""}",,2026-08-16,
restaurant-030,restaurant,La Taqueria,La Taqueria,backlog,,,,,Средний сегмент,,,,,belgrade_restaurants.md,https://maps.app.goo.gl/3nLb2w48SmwP1frf9,"Belgrade, Serbia","{""migrated_from"":""belgrade_restaurants.md""}",,2026-08-16,
restaurant-031,restaurant,Georgia,Georgia,backlog,,,,,Средний сегмент,,,,,belgrade_restaurants.md,https://maps.app.goo.gl/oG42ME2nDpwPJzom7,"Belgrade, Serbia","{""migrated_from"":""belgrade_restaurants.md""}","- грузинская кухня, земун",2026-08-16,
restaurant-032,restaurant,Spring Belgrade,Spring Belgrade,backlog,,,,,Средний сегмент,,,,,belgrade_restaurants.md,https://maps.app.goo.gl/Fi4zUqPd2m6EpYDJ8,"Belgrade, Serbia","{""migrated_from"":""belgrade_restaurants.md""}",- китайская кухня,2026-08-16,
